epoch,acc,loss,val_acc,val_loss
0,0.7268862392494136,0.5318674069768847,0.7613061179577465,0.4795156843225721
1,0.7677812255668491,0.470426901557466,0.771759463028169,0.45805581921422983
2,0.782144864151681,0.4456902696715378,0.7763534330985915,0.4518733741322034
3,0.7930634284597342,0.4265905115593216,0.7831205985915493,0.44302148550329074
4,0.8027053606333072,0.4098097606969122,0.7803422095070423,0.44183004101817036
5,0.8119533082486318,0.39375142477004205,0.7927211707746479,0.4331967702633898
6,0.819277145230649,0.37885989207392845,0.7925561179577465,0.43394825439637813
7,0.819704725371384,0.379399093277199,0.7942616637323944,0.4362952558087631
8,0.8270652120797498,0.36496637318868763,0.7969575264084507,0.4319682948186364
9,0.8339492523455825,0.3519311752447027,0.7933538732394366,0.45509942306179396
10,0.8414563379593433,0.3383167839672437,0.7989656690140845,0.4430465196639719
11,0.8479066897967162,0.32615916280074453,0.7994058098591549,0.4575831958315742
12,0.8535538017982799,0.3150348475114082,0.7930237676056338,0.46643415733542243
13,0.8593261336982018,0.30383722671686997,0.7989381602112676,0.45720724918892686
