epoch,acc,loss,val_acc,val_loss
0,0.6750329847537139,0.5877205331382386,0.7212257922535211,0.5464773765752013
1,0.7377620455433933,0.5193664067606146,0.7520906690140845,0.4998227985392154
2,0.7680713692337764,0.47470489364522245,0.7714568661971831,0.4697225675196715
3,0.7879019253322909,0.44505874778816157,0.7859264964788732,0.45127045835407686
4,0.8016089229867084,0.42199904425615814,0.7930787852112676,0.43755222940948646
5,0.8131322077795152,0.4025818673053507,0.7981679137323944,0.4314694360528194
6,0.8235193510555121,0.3852510661049873,0.8008637764084507,0.42361515267214306
7,0.8319518422595777,0.36960343829559295,0.8020466549295775,0.4214840898631324
8,0.8406133942533229,0.35490319215524374,0.8084011883802817,0.4184271647057063
9,0.8481052091477717,0.3408245471909794,0.8050726232394366,0.4266772367794749
10,0.8555634284597342,0.3270974595615228,0.8096390845070423,0.42447839047707303
11,0.8615495504300235,0.31434022116768257,0.8100792253521126,0.43023023345101047
12,0.8685618647380766,0.3012329957464694,0.8106844190140845,0.4364670798392363
13,0.8745632574276778,0.28909573011374085,0.8097491197183099,0.4363559427815424
