epoch,acc,loss,val_acc,val_loss
0,0.6715420983189992,0.5908833772782892,0.7191626320422535,0.5469275513585184
1,0.73778342455043,0.5171536076362474,0.7498624559859155,0.5012454981325378
2,0.76739945758405,0.4742313730497673,0.76953125,0.47153103823812914
3,0.7867321882329945,0.44483033049796317,0.7843584947183099,0.4511588143420891
4,0.8006865715402658,0.4223973566871588,0.7888699383802817,0.4403519717530465
5,0.811293613174355,0.40342314964257897,0.7936839788732394,0.4323922965518186
6,0.8213020426114152,0.3862304101181832,0.8000110035211268,0.42669745838977924
7,0.8301743305316653,0.37082530212085446,0.8022117077464789,0.42240274477172907
8,0.8383716526583268,0.3560745021833676,0.8049900968309859,0.42100998979639
9,0.8456618940578577,0.34245256535516666,0.8082361355633803,0.422136730291474
10,0.8531201133698202,0.3292206829359887,0.808868838028169,0.43065726242854563
11,0.8595979525019547,0.3163467596887237,0.8104918573943662,0.4303681401299759
12,0.8661796325254105,0.3044388552514532,0.8095565580985915,0.43521814321128416
13,0.8723825987099296,0.29247561147242807,0.8099141725352113,0.44326303185711446
